Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
1.00435e+07,28,8,8
1.00557e+07,183,18,18
1.00624e+07,252,50,50
1.0118e+07,823,257,254
1.0042e+07,6,6,6
1.00964e+07,589,195,195
1.00566e+07,207,2,2
1.00601e+07,189,46,46
1.00513e+07,100,26,26
1.00515e+07,106,29,29
1.0044e+07,25,17,17
1.00542e+07,121,54,54
1.00465e+07,58,13,13
1.00545e+07,125,52,52
1.00421e+07,6,6,6
1.00669e+07,286,73,73
1.0052e+07,118,27,27
1.00446e+07,33,18,18
1.00423e+07,9,6,6
1.0086e+07,477,140,139
1.00954e+07,497,239,239
1.0042e+07,5,5,5
1.00606e+07,211,89,88
1.00442e+07,26,15,15
1.0055e+07,137,47,47
1.00662e+07,231,91,90
1.00457e+07,43,23,23
1.00438e+07,29,5,5
1.00428e+07,15,7,7
1.00459e+07,49,17,17
1.00537e+07,119,65,65
1.00753e+07,393,110,107
1.00414e+07,2,2,2
1.00434e+07,19,14,14
1.0043e+07,16,9,9
1.00439e+07,34,6,6
1.00859e+07,484,97,97
1.00764e+07,354,126,126
1.00439e+07,21,16,16
1.00867e+07,416,164,162
1.0066e+07,228,81,81
1.01036e+07,744,150,145
1.00474e+07,71,26,26
1.00746e+07,296,130,130
1.01434e+07,1383,6,6
1.00443e+07,34,13,13
1.00456e+07,57,7,7
1.01524e+07,1151,403,402
1.01151e+07,787,257,253
1.00516e+07,133,25,25
1.00431e+07,26,5,5
1.00428e+07,19,6,6
1.01326e+07,979,280,261
1.00718e+07,352,72,71
1.00445e+07,26,18,18
1.0042e+07,6,5,5
1.00661e+07,270,90,90
1.01243e+07,783,300,297
1.02211e+07,1949,804,797
1.01098e+07,713,234,231
1.00423e+07,11,5,5
1.00427e+07,16,5,5
1.00742e+07,343,89,89
1.0045e+07,32,15,15
1.01555e+07,1159,444,439
1.00418e+07,4,4,4
1.01365e+07,960,356,354
1.00569e+07,170,66,66
1.00431e+07,15,10,10
1.00498e+07,87,22,22
1.00523e+07,106,42,42
1.00477e+07,86,4,4
1.00733e+07,330,108,101
1.00442e+07,31,6,6
1.00604e+07,226,45,45
1.00518e+07,98,37,37
1.00736e+07,342,100,100
1.01631e+07,1307,464,461
1.0104e+07,603,160,158
1.00425e+07,11,7,7
1.01607e+07,1306,487,486
1.00784e+07,395,112,111
1.00479e+07,79,17,17
1.00991e+07,543,220,220
1.0054e+07,121,47,47
1.0089e+07,491,192,192
1.00633e+07,275,43,43
1.00624e+07,265,58,57
1.00436e+07,29,8,8
1.00493e+07,77,26,26
1.00646e+07,269,90,90
1.01243e+07,904,288,285
1.00608e+07,209,62,62
1.00852e+07,485,117,111
1.01551e+07,1216,442,434
1.00889e+07,474,190,190
1.0136e+07,925,387,387
1.00766e+07,403,82,79
1.01186e+07,804,228,227
1.00982e+07,557,187,187
1.00696e+07,252,118,118
1.00627e+07,216,32,32
1.0144e+07,955,389,389
1.00547e+07,145,44,44
1.00486e+07,77,25,25
1.00812e+07,504,3,3
1.0048e+07,68,21,21
1.00918e+07,518,158,158
1.01257e+07,813,342,334
1.00992e+07,657,161,158
1.00721e+07,348,87,86
