Space cost (bytes),# TPG edges,# Upper-bound edges,# TSPG edges
1.34339e+06,13,13,13
1.34374e+06,16,16,16
1.34502e+06,24,24,24
1.34416e+06,18,18,18
1.36061e+06,150,138,138
1.3427e+06,9,9,9
1.34183e+06,3,3,3
1.37927e+06,298,237,237
1.34281e+06,12,12,12
1.34217e+06,5,5,5
1.38163e+06,343,248,242
1.34238e+06,7,7,7
1.34694e+06,36,36,36
1.3419e+06,3,3,3
1.35648e+06,117,101,101
1.34509e+06,25,25,25
1.34426e+06,19,19,19
1.3478e+06,48,44,44
1.34224e+06,5,5,5
1.34189e+06,3,3,3
1.34157e+06,1,1,1
1.34534e+06,31,22,22
1.36067e+06,148,139,139
1.34428e+06,20,20,20
1.34184e+06,3,3,3
1.40919e+06,567,512,512
1.34395e+06,18,18,18
1.35497e+06,111,90,84
1.34637e+06,39,35,35
1.34773e+06,58,34,34
1.34178e+06,3,3,3
1.34463e+06,24,17,17
1.34304e+06,13,10,10
1.34256e+06,9,9,9
1.34245e+06,7,7,7
1.34443e+06,26,25,25
1.38736e+06,362,287,287
1.3448e+06,22,22,22
1.34214e+06,5,5,5
1.34338e+06,15,10,10
1.35235e+06,87,76,76
1.34172e+06,2,2,2
1.3458e+06,37,37,37
1.34324e+06,12,12,12
1.34438e+06,18,18,18
1.35047e+06,69,53,53
1.34159e+06,1,1,1
1.3706e+06,236,187,187
1.34764e+06,43,43,43
1.34499e+06,24,24,24
1.34784e+06,50,38,38
1.34466e+06,22,22,22
1.38234e+06,373,275,269
1.35786e+06,121,120,120
1.34265e+06,7,7,7
1.34244e+06,7,7,7
1.34297e+06,11,11,11
1.34172e+06,2,2,2
1.34357e+06,20,10,10
1.34374e+06,15,15,15
1.36211e+06,164,137,137
1.34157e+06,1,1,1
1.34992e+06,67,58,58
1.34216e+06,5,5,5
1.34157e+06,1,1,1
1.36082e+06,157,125,125
1.34284e+06,10,10,10
1.35115e+06,80,64,64
1.34205e+06,5,5,5
1.3634e+06,193,135,134
1.34274e+06,9,9,9
1.35626e+06,122,110,110
1.34179e+06,3,3,3
1.34342e+06,13,11,11
1.34308e+06,10,10,10
1.34174e+06,2,2,2
1.34538e+06,36,32,32
1.34244e+06,6,6,6
1.34362e+06,27,8,8
1.3419e+06,3,3,3
1.34654e+06,33,31,31
1.35874e+06,136,117,117
1.3419e+06,3,3,3
1.34489e+06,26,25,25
1.34637e+06,32,31,31
1.34262e+06,12,3,3
1.34296e+06,10,10,10
1.34212e+06,6,6,6
1.34158e+06,1,1,1
1.34389e+06,18,18,18
1.3479e+06,49,49,49
1.34244e+06,6,6,6
1.34937e+06,66,58,58
1.36362e+06,172,131,131
1.35165e+06,75,74,74
1.34876e+06,50,45,45
1.34257e+06,8,8,8
1.3437e+06,20,12,12
1.34158e+06,1,1,1
1.34828e+06,51,51,51
1.34486e+06,25,23,23
1.40681e+06,576,495,493
1.34224e+06,6,4,4
1.34168e+06,2,2,2
1.34235e+06,6,6,6
1.34172e+06,2,2,2
1.3523e+06,79,69,69
1.42199e+06,720,644,638
1.36028e+06,171,121,121
1.34407e+06,17,17,17
1.34158e+06,1,1,1
1.36544e+06,198,174,174
1.34276e+06,8,8,8
1.35142e+06,77,67,67
1.3635e+06,179,150,150
1.34244e+06,6,6,6
1.38706e+06,400,318,316
1.34157e+06,1,1,1
1.34274e+06,10,10,10
1.34223e+06,6,6,6
1.34227e+06,6,6,6
1.34457e+06,20,17,17
1.3416e+06,1,1,1
1.34397e+06,18,18,18
1.34331e+06,12,12,12
1.37281e+06,247,193,192
1.34218e+06,5,5,5
1.34542e+06,29,25,25
1.34726e+06,43,41,41
1.34294e+06,9,9,9
1.34174e+06,2,2,2
1.34776e+06,48,44,44
1.34487e+06,25,25,25
1.34157e+06,1,1,1
1.3425e+06,8,8,8
1.34157e+06,1,1,1
1.38752e+06,377,299,297
1.40303e+06,490,379,379
1.36402e+06,213,100,100
1.34705e+06,41,37,37
1.34901e+06,54,53,53
1.34552e+06,30,28,28
1.34297e+06,10,9,9
1.34244e+06,7,7,7
1.34285e+06,9,9,9
1.34157e+06,1,1,1
1.35861e+06,128,122,122
1.34402e+06,18,18,18
1.34201e+06,5,5,5
1.34272e+06,9,9,9
1.34206e+06,4,4,4
1.34211e+06,5,5,5
1.34302e+06,10,10,10
1.34158e+06,1,1,1
1.34158e+06,1,1,1
1.34246e+06,7,7,7
1.34244e+06,8,7,7
1.34189e+06,4,4,4
1.35369e+06,98,85,85
1.34365e+06,18,14,14
1.34276e+06,9,9,9
1.34265e+06,9,9,9
1.34216e+06,5,5,5
1.34712e+06,41,37,37
1.34302e+06,12,12,12
1.34313e+06,15,9,9
1.34312e+06,11,11,11
1.34249e+06,7,7,7
1.34247e+06,7,7,7
1.34282e+06,9,9,9
1.3427e+06,11,11,11
1.342e+06,4,4,4
1.34287e+06,9,9,9
1.34211e+06,5,5,5
1.34202e+06,4,4,4
1.34255e+06,7,7,7
1.34282e+06,10,10,10
1.34233e+06,9,3,3
1.35108e+06,73,58,58
1.34287e+06,10,10,10
1.34463e+06,21,21,21
1.35443e+06,111,62,62
1.35408e+06,93,79,79
1.35382e+06,106,75,75
1.34237e+06,6,6,6
1.34157e+06,1,1,1
1.39274e+06,427,325,317
1.34206e+06,4,4,4
1.34343e+06,14,14,14
1.34246e+06,7,7,7
1.34168e+06,2,2,2
1.34206e+06,4,4,4
1.34157e+06,1,1,1
1.34267e+06,8,8,8
1.34224e+06,5,5,5
1.34194e+06,4,4,4
1.34562e+06,40,20,20
1.34484e+06,27,27,27
1.35357e+06,94,82,82
1.36431e+06,178,159,159
1.34158e+06,1,1,1
1.35488e+06,105,91,91
1.34298e+06,10,10,10
1.34319e+06,16,9,9
1.34733e+06,43,43,43
1.34207e+06,4,4,4
1.34998e+06,68,48,48
