Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
4.50186e+07,39,17,17
4.50146e+07,2,2,2
4.51337e+07,1090,560,554
4.50162e+07,12,10,10
4.50695e+07,509,315,315
4.50775e+07,509,267,267
4.50182e+07,30,23,23
4.50161e+07,15,7,7
4.50953e+07,728,312,312
4.50146e+07,1,1,1
4.51465e+07,1023,586,583
4.50146e+07,1,1,1
4.5015e+07,5,5,5
4.50146e+07,1,1,1
4.5017e+07,24,10,10
4.51458e+07,1179,433,433
4.5188e+07,1518,792,788
4.50147e+07,2,2,2
4.50208e+07,49,31,31
4.56837e+07,6313,3215,3171
4.50239e+07,81,40,40
4.50148e+07,3,3,3
4.50157e+07,8,8,8
4.50153e+07,7,5,5
4.51171e+07,978,439,439
4.50553e+07,332,161,161
4.50267e+07,106,51,51
4.50145e+07,1,1,1
4.5017e+07,19,12,12
4.52205e+07,1821,866,866
4.50166e+07,26,4,4
4.50463e+07,243,129,129
4.50535e+07,317,160,160
4.50146e+07,1,1,1
4.5023e+07,80,29,29
4.50145e+07,1,1,1
4.50145e+07,1,1,1
4.51085e+07,796,451,448
4.50723e+07,483,238,238
4.50146e+07,1,1,1
4.50147e+07,2,2,2
4.51624e+07,1202,522,520
4.50245e+07,66,48,48
4.50167e+07,16,14,14
4.50273e+07,94,52,52
4.50152e+07,8,3,3
4.5036e+07,175,88,88
4.50159e+07,11,10,10
4.50335e+07,155,76,76
4.50146e+07,1,1,1
4.50187e+07,31,22,22
4.50692e+07,460,229,229
4.50341e+07,162,91,91
4.50305e+07,157,62,62
4.50145e+07,1,1,1
4.50176e+07,27,16,16
4.50413e+07,255,73,72
4.52582e+07,2124,1136,1136
4.53603e+07,3084,1631,1631
4.50172e+07,25,8,8
4.50147e+07,3,2,2
4.5015e+07,4,4,4
4.50167e+07,13,13,13
4.53525e+07,2981,1424,1409
4.51761e+07,1375,674,671
4.50145e+07,1,1,1
4.50145e+07,1,1,1
4.50208e+07,61,12,12
4.50153e+07,8,5,5
4.518e+07,1626,696,632
4.51364e+07,1020,414,414
4.50164e+07,13,11,11
4.50229e+07,76,37,37
4.54548e+07,4365,2089,2086
4.50198e+07,37,32,32
4.5017e+07,24,10,10
4.50164e+07,14,10,10
4.50245e+07,93,36,36
4.50146e+07,2,2,2
4.50436e+07,238,127,127
4.50182e+07,39,12,12
4.50965e+07,720,366,361
4.50286e+07,108,68,68
4.50228e+07,69,40,40
4.50203e+07,40,36,36
4.50152e+07,7,4,4
4.50147e+07,2,2,2
4.50219e+07,62,25,25
4.50234e+07,75,37,37
4.50156e+07,11,4,4
4.50158e+07,11,7,7
4.54426e+07,3836,2060,2048
4.50162e+07,11,10,10
4.50148e+07,3,3,3
4.50171e+07,20,14,14
4.5419e+07,3594,1659,1646
4.50173e+07,28,11,11
4.50153e+07,7,7,7
4.50186e+07,32,21,21
4.54579e+07,3872,1901,1898
4.50187e+07,28,19,19
4.55278e+07,4611,2413,2409
4.50165e+07,15,15,15
4.51756e+07,1348,737,734
4.50152e+07,5,5,5
4.5015e+07,7,3,3
4.50301e+07,118,83,83
4.50483e+07,283,191,191
4.50147e+07,2,2,2
4.50146e+07,1,1,1
4.53926e+07,3214,1655,1648
4.50181e+07,25,22,22
4.50285e+07,114,52,52
4.50258e+07,93,68,68
4.50726e+07,536,207,202
4.52945e+07,2433,1335,1333
4.5033e+07,160,84,84
4.55822e+07,5379,2719,2706
4.50334e+07,138,97,97
4.50331e+07,168,69,69
4.51116e+07,916,369,369
4.50717e+07,536,187,187
4.50156e+07,10,5,5
4.50145e+07,1,1,1
4.50151e+07,5,5,5
4.50146e+07,2,2,2
4.50145e+07,1,1,1
4.50223e+07,78,39,39
4.51267e+07,989,410,410
4.50146e+07,1,1,1
4.50813e+07,576,257,255
4.50146e+07,1,1,1
4.50288e+07,157,26,26
4.5114e+07,921,281,281
4.50214e+07,61,32,32
4.50145e+07,1,1,1
4.50145e+07,1,1,1
4.50145e+07,1,1,1
4.50149e+07,4,3,3
4.5054e+07,337,130,130
4.50147e+07,2,2,2
4.50534e+07,308,156,156
4.50164e+07,14,11,11
4.50207e+07,53,17,17
4.50147e+07,2,2,2
4.5142e+07,1127,540,539
4.50155e+07,8,6,6
4.50145e+07,1,1,1
4.55011e+07,4177,2219,2219
4.50188e+07,33,22,22
4.53671e+07,3298,1555,1548
4.50646e+07,509,214,211
4.50157e+07,9,9,9
4.53724e+07,3034,1538,1529
4.54601e+07,3809,1886,1884
4.50148e+07,4,2,2
4.50213e+07,62,18,18
4.52298e+07,1943,920,917
4.50292e+07,163,57,57
4.51927e+07,1567,786,781
4.50146e+07,1,1,1
4.52751e+07,2072,1200,1200
4.51354e+07,1153,562,561
4.50161e+07,13,9,9
4.50159e+07,19,4,4
4.50224e+07,81,31,31
4.50164e+07,14,11,11
4.50146e+07,2,2,2
4.50387e+07,227,86,86
4.51269e+07,1078,366,366
4.54572e+07,3914,1909,1904
4.50192e+07,38,26,26
4.51576e+07,1157,542,542
4.5115e+07,805,439,439
4.50158e+07,9,8,8
4.52334e+07,2036,923,923
4.50145e+07,1,1,1
4.50162e+07,18,5,5
4.50145e+07,1,1,1
4.50145e+07,1,1,1
4.50146e+07,2,2,2
4.5027e+07,114,39,39
4.50145e+07,1,1,1
4.50372e+07,197,73,73
4.51288e+07,1170,422,421
4.50234e+07,64,38,38
4.50207e+07,47,29,29
4.50191e+07,31,25,25
4.51023e+07,764,378,378
4.50402e+07,197,136,136
4.50145e+07,1,1,1
4.50151e+07,6,3,3
4.50145e+07,1,1,1
4.5019e+07,33,32,32
4.50162e+07,14,9,9
4.50146e+07,2,2,2
4.50154e+07,15,2,2
4.50183e+07,26,23,23
4.50145e+07,1,1,1
4.50145e+07,1,1,1
4.50148e+07,3,3,3
4.50576e+07,375,193,193
4.50168e+07,24,6,6
4.50193e+07,43,17,17
4.50152e+07,5,5,5
4.50197e+07,46,15,15
4.50174e+07,31,6,6
4.50218e+07,68,22,22
4.51574e+07,1289,604,603
4.51687e+07,1455,622,622
4.50159e+07,11,8,8
4.50317e+07,248,6,6
4.50145e+07,1,1,1
4.51607e+07,1226,709,709
4.50172e+07,20,15,15
4.52472e+07,2088,1044,1043
4.50146e+07,2,2,2
4.56781e+07,6104,2952,2941
4.50146e+07,1,1,1
4.50299e+07,131,64,64
4.5016e+07,11,11,11
4.52641e+07,2221,1146,1131
4.50232e+07,70,38,38
4.50174e+07,32,10,10
4.50146e+07,2,2,2
4.50271e+07,144,18,18
4.50148e+07,3,3,3
4.50146e+07,1,1,1
4.54487e+07,3804,1903,1892
4.52613e+07,2331,962,961
4.50191e+07,37,22,22
4.50145e+07,1,1,1
4.50154e+07,6,6,6
4.50145e+07,1,1,1
4.5067e+07,427,222,222
4.50422e+07,260,86,86
4.50221e+07,59,36,36
4.51017e+07,810,362,362
4.50149e+07,5,3,3
4.50362e+07,177,76,76
4.50146e+07,1,1,1
4.50232e+07,80,36,36
4.50243e+07,68,57,57
4.50147e+07,2,2,2
4.5019e+07,45,12,12
4.50166e+07,19,10,10
4.50146e+07,2,2,2
