Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
1.25918e+07,92,42,42
1.2583e+07,18,6,6
1.25828e+07,13,6,6
1.25873e+07,49,24,24
1.25886e+07,76,17,17
1.25832e+07,24,4,4
1.2592e+07,100,47,47
1.25841e+07,19,13,13
1.25841e+07,24,11,11
1.25961e+07,122,75,75
1.25896e+07,71,32,32
1.25817e+07,5,3,3
1.26271e+07,493,147,146
1.25854e+07,48,9,9
1.259e+07,75,37,37
1.26378e+07,500,261,256
1.25866e+07,40,22,22
1.25893e+07,72,39,39
1.25825e+07,8,8,8
1.25835e+07,23,11,11
1.26097e+07,232,133,133
1.25861e+07,50,10,10
1.25829e+07,14,9,9
1.25829e+07,20,5,5
1.25922e+07,106,46,46
1.25828e+07,16,8,8
1.25825e+07,18,3,3
1.26053e+07,216,65,65
1.25828e+07,12,7,7
1.25829e+07,18,5,5
1.25919e+07,95,42,42
1.25897e+07,92,31,31
1.25829e+07,13,9,9
1.25954e+07,150,54,54
1.25825e+07,12,5,5
1.25858e+07,61,7,7
1.25825e+07,9,7,7
1.26267e+07,426,138,135
1.2583e+07,18,8,8
1.2593e+07,94,57,57
1.25875e+07,62,15,15
1.27311e+07,1285,881,878
1.25822e+07,9,5,5
1.25865e+07,50,20,20
1.25824e+07,10,6,6
1.26007e+07,174,76,76
1.25873e+07,52,25,25
1.2589e+07,68,32,32
1.25853e+07,43,12,12
1.25843e+07,31,8,8
1.25824e+07,9,6,6
1.25871e+07,65,19,19
1.25839e+07,20,10,10
1.25868e+07,66,16,16
1.25857e+07,54,4,4
1.25928e+07,114,41,41
1.25944e+07,109,51,51
1.26475e+07,605,343,343
1.25952e+07,115,50,50
1.25843e+07,28,11,11
1.25841e+07,27,12,12
1.25945e+07,115,50,50
1.25976e+07,159,57,52
1.2585e+07,30,16,16
1.25863e+07,49,15,14
1.25822e+07,8,4,4
1.25872e+07,50,31,31
1.25851e+07,30,22,22
1.25842e+07,24,15,15
1.26032e+07,198,72,72
1.25846e+07,35,6,6
1.2693e+07,1027,580,578
1.2585e+07,38,11,11
1.25903e+07,74,38,38
1.25833e+07,25,6,6
1.25863e+07,55,12,12
1.25843e+07,19,17,17
1.25927e+07,109,31,31
1.26648e+07,776,412,409
1.25891e+07,84,25,25
1.26211e+07,371,162,162
1.26137e+07,343,98,96
1.26139e+07,303,137,135
1.266e+07,708,414,414
1.25846e+07,36,6,6
1.25918e+07,94,38,38
1.25899e+07,89,37,37
1.25836e+07,19,13,13
1.25882e+07,73,15,15
1.25822e+07,9,4,4
1.25948e+07,126,49,49
1.25834e+07,15,9,9
1.26245e+07,397,212,212
1.26994e+07,1067,650,650
1.25988e+07,161,79,79
1.25835e+07,25,9,9
1.26581e+07,759,406,406
1.26554e+07,704,389,385
1.25841e+07,23,14,14
1.26449e+07,658,318,317
1.2708e+07,1258,732,731
1.26859e+07,1147,432,425
1.25842e+07,25,13,13
1.2639e+07,538,235,235
1.25866e+07,48,26,26
1.26064e+07,292,61,61
1.25887e+07,60,34,34
1.25852e+07,35,14,14
1.25894e+07,74,25,25
1.25853e+07,39,15,15
1.25922e+07,107,45,45
1.26054e+07,242,73,73
1.25834e+07,16,12,12
1.2585e+07,29,17,17
1.25863e+07,51,15,15
1.25865e+07,46,28,28
1.25824e+07,15,2,2
1.25841e+07,26,9,9
1.25837e+07,31,8,8
1.25996e+07,174,66,66
1.26151e+07,296,155,155
1.25944e+07,128,44,44
1.25989e+07,162,73,73
1.25836e+07,19,14,14
1.25832e+07,14,12,12
1.25839e+07,25,11,11
1.26417e+07,581,272,270
1.25843e+07,25,16,16
1.26381e+07,504,224,224
1.25833e+07,27,5,5
1.25906e+07,76,42,42
1.25895e+07,69,33,33
1.2585e+07,32,15,15
1.25878e+07,73,9,9
1.25914e+07,101,35,35
1.26463e+07,619,287,287
1.25829e+07,12,10,10
1.25846e+07,37,5,5
1.25837e+07,27,7,7
1.25841e+07,29,11,11
1.25849e+07,33,17,17
1.25825e+07,15,4,4
1.25831e+07,15,10,10
1.26081e+07,234,108,108
1.26149e+07,283,166,166
1.25839e+07,22,13,13
1.25834e+07,20,11,11
1.2587e+07,61,19,19
1.27173e+07,1317,795,790
1.25822e+07,10,4,4
1.26025e+07,196,99,98
1.25833e+07,19,8,8
1.27272e+07,1428,588,573
1.25842e+07,36,3,3
1.25858e+07,43,20,20
1.25858e+07,32,22,22
1.25834e+07,14,12,12
1.2585e+07,28,18,18
1.26059e+07,284,52,52
1.2621e+07,460,73,71
1.2582e+07,5,5,5
1.26299e+07,431,214,214
1.25823e+07,7,7,7
1.25819e+07,5,5,5
1.27792e+07,1870,1229,1226
1.25836e+07,19,13,13
1.25892e+07,65,37,37
1.2587e+07,54,18,18
1.25825e+07,10,7,7
1.25843e+07,31,14,14
1.25977e+07,161,66,66
1.25848e+07,35,12,12
1.25813e+07,1,1,1
1.25823e+07,11,4,4
1.25853e+07,34,19,19
1.26164e+07,272,188,188
1.25975e+07,158,64,64
1.27428e+07,1515,937,937
1.26117e+07,296,89,89
1.25919e+07,101,36,36
1.2595e+07,119,58,58
1.25896e+07,71,35,35
1.25818e+07,4,4,4
1.25832e+07,19,7,7
1.25826e+07,14,5,5
1.27087e+07,1047,706,706
1.25829e+07,17,6,6
1.25828e+07,11,9,9
1.27559e+07,1562,1177,1173
1.25915e+07,95,36,36
1.25855e+07,33,22,22
1.25986e+07,145,78,78
1.26447e+07,538,347,347
1.25952e+07,146,31,31
1.2595e+07,120,54,54
1.25832e+07,16,10,10
1.25831e+07,18,9,9
1.25865e+07,65,5,5
1.26149e+07,286,181,181
1.25844e+07,28,13,13
1.25937e+07,103,62,62
1.25969e+07,132,64,64
1.25847e+07,36,13,13
1.259e+07,127,11,11
1.25915e+07,112,22,22
1.25821e+07,7,5,5
1.25819e+07,6,4,4
1.26103e+07,276,127,127
1.25926e+07,113,39,39
1.25848e+07,35,14,14
1.25821e+07,7,6,6
1.25858e+07,38,25,25
1.26024e+07,193,99,99
1.25837e+07,24,11,11
1.25916e+07,106,25,25
1.26199e+07,369,153,153
1.27172e+07,1207,883,883
1.26884e+07,996,557,557
1.26512e+07,584,352,348
1.26705e+07,782,507,507
1.27097e+07,1077,642,642
1.2583e+07,17,7,7
1.25954e+07,120,59,59
1.25904e+07,90,27,27
1.25831e+07,19,8,8
1.2583e+07,16,9,9
1.25851e+07,38,22,22
1.26627e+07,751,409,407
1.25975e+07,168,54,54
1.25992e+07,184,69,69
1.25821e+07,8,4,4
1.2617e+07,319,170,170
1.26198e+07,325,140,140
1.25814e+07,1,1,1
1.25821e+07,7,5,5
1.26136e+07,280,193,193
1.25913e+07,99,34,34
1.25917e+07,86,32,32
1.25816e+07,3,3,3
1.26015e+07,190,95,95
