Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
1.4613e+07,5,5,5
1.46129e+07,4,3,3
1.46532e+07,410,173,173
1.46589e+07,585,18,18
1.46148e+07,22,13,13
1.46126e+07,1,1,1
1.46296e+07,202,32,32
1.46148e+07,20,14,14
1.47102e+07,997,439,439
1.46127e+07,1,1,1
1.46127e+07,1,1,1
1.46127e+07,1,1,1
1.46138e+07,13,8,8
1.46134e+07,11,4,4
1.4613e+07,4,4,4
1.46139e+07,16,8,8
1.46154e+07,32,10,10
1.46135e+07,10,7,7
1.46126e+07,1,1,1
1.47412e+07,1184,584,584
1.46131e+07,5,4,4
1.46139e+07,15,6,6
1.46145e+07,22,14,14
1.46199e+07,78,29,29
1.46167e+07,43,14,14
1.46126e+07,1,1,1
1.46158e+07,31,16,16
1.46255e+07,130,37,37
1.46129e+07,3,3,3
1.46145e+07,23,4,4
1.46126e+07,1,1,1
1.46241e+07,118,30,30
1.46145e+07,26,5,5
1.46126e+07,1,1,1
1.4617e+07,40,21,21
1.46149e+07,33,9,9
1.46152e+07,33,6,6
1.4617e+07,55,16,16
1.46135e+07,15,3,3
1.46145e+07,28,5,5
1.46142e+07,16,9,9
1.46133e+07,7,7,7
1.46154e+07,40,4,4
1.46126e+07,1,1,1
1.46158e+07,27,12,12
1.46127e+07,2,2,2
1.46151e+07,40,5,5
1.46183e+07,46,29,29
1.4613e+07,4,4,4
1.46126e+07,1,1,1
1.46133e+07,10,4,4
1.46134e+07,8,5,5
1.46169e+07,36,21,21
1.46132e+07,7,5,5
1.46641e+07,482,240,240
1.46135e+07,10,5,5
1.47105e+07,985,413,412
1.4613e+07,4,4,4
1.46126e+07,1,1,1
1.46142e+07,15,7,7
1.46126e+07,1,1,1
1.46126e+07,1,1,1
1.46151e+07,28,7,7
1.46142e+07,21,6,6
1.46134e+07,8,5,5
1.46137e+07,11,7,7
1.46193e+07,86,18,18
1.46173e+07,43,25,25
1.46132e+07,6,6,6
1.46129e+07,3,3,3
1.4615e+07,23,14,14
1.46345e+07,232,48,48
1.46133e+07,7,6,6
1.46272e+07,169,12,12
1.46127e+07,2,2,2
1.46126e+07,1,1,1
1.4618e+07,60,9,9
1.46126e+07,1,1,1
1.46234e+07,121,35,35
1.46195e+07,64,20,20
1.46141e+07,22,6,6
1.46249e+07,123,70,70
1.46129e+07,3,3,3
1.46183e+07,51,33,33
1.46128e+07,3,3,3
1.46128e+07,2,2,2
1.46359e+07,225,72,72
1.4618e+07,56,28,28
1.46147e+07,18,11,11
1.46243e+07,119,50,50
1.46137e+07,12,6,6
1.4638e+07,237,87,87
1.46126e+07,1,1,1
1.46862e+07,711,315,315
1.4618e+07,52,17,17
1.46179e+07,73,2,2
1.4615e+07,36,5,5
1.46131e+07,6,4,4
1.46126e+07,1,1,1
1.46127e+07,2,2,2
1.46146e+07,15,9,9
1.46138e+07,18,4,4
1.46126e+07,1,1,1
1.46126e+07,1,1,1
1.46254e+07,129,50,50
1.46156e+07,31,9,9
1.46127e+07,2,2,2
1.46179e+07,33,31,31
1.46144e+07,16,12,12
1.46131e+07,5,3,3
1.46204e+07,76,28,28
1.46386e+07,299,55,55
1.46131e+07,5,5,5
1.46161e+07,39,12,12
1.46252e+07,120,40,40
1.46135e+07,9,8,8
1.46188e+07,63,23,23
1.46132e+07,7,4,4
1.46128e+07,3,3,3
1.46126e+07,1,1,1
1.46155e+07,27,11,11
1.46155e+07,25,13,13
1.46127e+07,2,2,2
1.4635e+07,229,105,105
1.46143e+07,21,5,5
1.46205e+07,74,25,25
1.46127e+07,2,2,2
1.46127e+07,2,2,2
1.46146e+07,19,11,11
1.46126e+07,1,1,1
1.46126e+07,1,1,1
1.46149e+07,28,8,8
1.46137e+07,12,9,9
1.46141e+07,13,9,9
1.46142e+07,24,5,5
1.46128e+07,3,3,3
1.46138e+07,9,9,9
1.46126e+07,1,1,1
1.46128e+07,3,3,3
1.46138e+07,13,5,5
1.46126e+07,1,1,1
1.4617e+07,38,23,23
1.46143e+07,16,10,10
1.46136e+07,11,6,6
1.46465e+07,326,119,119
1.46134e+07,11,4,4
1.46127e+07,2,2,2
1.46145e+07,18,11,11
1.46131e+07,6,5,5
1.46189e+07,53,21,21
1.46126e+07,1,1,1
1.46138e+07,14,7,7
1.46142e+07,21,4,4
1.46126e+07,1,1,1
1.46483e+07,380,140,140
1.46126e+07,1,1,1
1.46127e+07,2,2,2
1.46144e+07,15,10,10
1.46593e+07,400,177,177
1.46424e+07,297,85,81
1.47212e+07,1067,419,419
1.46179e+07,93,3,3
1.4613e+07,7,2,2
1.46134e+07,7,6,6
1.46142e+07,13,10,10
1.4614e+07,14,8,8
1.46131e+07,6,4,4
1.46137e+07,12,5,5
1.46137e+07,10,8,8
1.46129e+07,4,3,3
1.46152e+07,41,7,7
1.46195e+07,97,4,4
1.46133e+07,8,5,5
1.46202e+07,75,34,34
1.46126e+07,1,1,1
1.46187e+07,42,33,33
1.46126e+07,1,1,1
1.46333e+07,178,89,89
1.46155e+07,26,14,14
1.46178e+07,91,3,3
1.46161e+07,41,10,10
1.46128e+07,3,3,3
1.46161e+07,33,10,10
1.46128e+07,3,3,3
1.46126e+07,1,1,1
1.4614e+07,14,9,9
1.46147e+07,20,10,10
1.4613e+07,7,2,2
1.46135e+07,9,5,5
1.46133e+07,8,5,5
1.46138e+07,15,4,4
1.46208e+07,112,9,9
1.46149e+07,26,15,15
1.46161e+07,35,12,12
1.46156e+07,29,18,18
1.46126e+07,1,1,1
1.46192e+07,63,24,24
1.46155e+07,36,5,5
1.46127e+07,2,2,2
1.46195e+07,84,20,20
1.46151e+07,26,12,12
1.46356e+07,269,89,89
1.46172e+07,55,13,13
1.46226e+07,93,41,41
1.46126e+07,1,1,1
1.46301e+07,193,44,44
1.46126e+07,1,1,1
1.46126e+07,1,1,1
1.4616e+07,26,18,18
1.46226e+07,96,30,30
1.46126e+07,1,1,1
1.4613e+07,4,4,4
1.46251e+07,134,29,29
1.46245e+07,124,44,44
1.46148e+07,28,5,5
1.46205e+07,60,45,45
1.47064e+07,902,346,336
1.4613e+07,5,2,2
1.46126e+07,1,1,1
1.4614e+07,21,5,5
1.47056e+07,935,402,392
1.46258e+07,154,22,22
1.4613e+07,5,3,3
1.46186e+07,75,12,12
1.46129e+07,4,3,3
1.46126e+07,1,1,1
1.46128e+07,2,2,2
1.46127e+07,2,2,2
1.46126e+07,1,1,1
1.46166e+07,52,4,4
1.46126e+07,1,1,1
1.46126e+07,1,1,1
1.46175e+07,50,13,13
1.46127e+07,2,2,2
1.46458e+07,391,86,86
1.46258e+07,145,38,38
1.46202e+07,68,25,25
1.46139e+07,21,3,3
1.46144e+07,30,3,3
1.46126e+07,1,1,1
1.46126e+07,1,1,1
1.46132e+07,8,4,4
1.46469e+07,346,135,131
1.46133e+07,11,2,2
1.46129e+07,3,2,2
1.46128e+07,2,2,2
1.46224e+07,126,18,18
1.46186e+07,60,28,28
1.46151e+07,25,10,10
1.4613e+07,7,2,2
1.46215e+07,92,30,30
1.46408e+07,277,99,99
1.46267e+07,120,71,66
1.46697e+07,554,231,231
1.46134e+07,9,6,6
1.46126e+07,1,1,1
1.46139e+07,10,9,9
1.46398e+07,247,95,94
1.46134e+07,14,2,2
1.46232e+07,142,4,4
1.46134e+07,12,3,3
1.46223e+07,90,43,43
1.4614e+07,22,2,2
1.46132e+07,6,6,6
