Space cost (bytes),# TPG edges,# Upper-bound edges,# STPG edges
3.31522e+07,1,1,1
3.31531e+07,12,6,6
3.31525e+07,4,3,3
3.3161e+07,71,39,39
3.31557e+07,40,11,11
3.32016e+07,467,130,130
3.31546e+07,19,15,15
3.31732e+07,208,58,58
3.31834e+07,311,98,98
3.31574e+07,56,11,11
3.31563e+07,55,9,9
3.31617e+07,92,46,46
3.31531e+07,11,4,4
3.31522e+07,1,1,1
3.31527e+07,6,3,3
3.31543e+07,17,14,14
3.32464e+07,883,358,358
3.31703e+07,166,56,55
3.31522e+07,1,1,1
3.31522e+07,1,1,1
3.31531e+07,11,4,4
3.31606e+07,78,29,29
3.31536e+07,13,8,8
3.31676e+07,154,50,50
3.31522e+07,1,1,1
3.31532e+07,13,3,3
3.31778e+07,248,97,97
3.31549e+07,21,13,13
3.31526e+07,4,4,4
3.31522e+07,1,1,1
3.31533e+07,9,7,7
3.31992e+07,512,184,184
3.31522e+07,1,1,1
3.3176e+07,216,78,78
3.31522e+07,1,1,1
3.31595e+07,81,17,17
3.31522e+07,1,1,1
3.31614e+07,83,31,31
3.31641e+07,126,45,45
3.31712e+07,162,61,61
3.32155e+07,633,264,264
3.3179e+07,288,65,65
3.31522e+07,1,1,1
3.31525e+07,3,3,3
3.32274e+07,697,210,201
3.31544e+07,23,9,9
3.31523e+07,2,2,2
3.31535e+07,12,6,6
3.31522e+07,1,1,1
3.31655e+07,127,33,33
3.31756e+07,204,115,115
3.31586e+07,50,28,28
3.31522e+07,1,1,1
3.33988e+07,2453,1034,1034
3.32028e+07,555,185,185
3.31522e+07,1,1,1
3.3164e+07,94,47,47
3.31788e+07,302,14,14
3.31538e+07,21,4,4
3.31527e+07,6,6,6
3.31631e+07,139,14,14
3.31531e+07,9,6,6
3.31522e+07,1,1,1
3.31564e+07,37,13,13
3.32059e+07,490,169,169
3.31541e+07,21,8,8
3.33049e+07,1434,589,588
3.31707e+07,217,42,42
3.31525e+07,4,3,3
3.31568e+07,36,23,23
3.31537e+07,18,5,5
3.31574e+07,43,24,24
3.31534e+07,9,9,9
3.31863e+07,313,131,131
3.31524e+07,2,2,2
3.3162e+07,90,41,41
3.3296e+07,1431,517,517
3.31744e+07,215,59,59
3.31612e+07,88,23,23
3.31543e+07,31,5,5
3.31546e+07,19,16,16
3.32009e+07,444,165,165
3.3229e+07,764,307,307
3.31522e+07,1,1,1
3.31915e+07,390,140,140
3.31522e+07,1,1,1
3.31539e+07,15,12,12
3.31592e+07,89,12,12
3.31556e+07,30,11,11
3.3155e+07,33,9,9
3.31523e+07,2,2,2
3.32389e+07,846,295,295
3.31623e+07,118,25,25
3.31535e+07,13,5,5
3.31522e+07,1,1,1
3.31875e+07,326,125,125
3.31543e+07,26,5,5
3.31526e+07,4,3,3
3.31526e+07,6,2,2
3.31522e+07,1,1,1
3.31522e+07,1,1,1
